7000,ION,POPESCU,C11/1,8
7001,MARIA,IONESCU,C11/2,9
7002,ANDREI,STAN,C12/1,7
7003,ELENA,RADU,C12/2,10
7004,MIHAI,DUMITRESCU,C21/1,6
7005,ANA,VOICU,C21/2,5
7006,VLAD,MANEA,C22/1,8
7007,GABRIELA,CRISTEA,C22/2,9
7008,ROBERT,MATEI,C23/1,4
7009,TEODORA,DIACONU,C23/2,10
7010,CRISTIAN,FLOREA,C24/1,7
7011,RALUCA,PETRE,C24/2,8
7012,ALEXANDRU,NICOLAE,C11/1,9
7013,ALEXANDRA,ENACHE,C11/2,6
7014,DANIEL,DRAGOMIR,C12/1,5
7015,DANIELA,LAZAR,C12/2,10
7016,PAUL,DINU,C21/1,7
7017,PAULA,ILIE,C21/2,8
7018,STEFAN,TUDOR,C22/1,9
7019,STEFANIA,MARIN,C22/2,6
7020,ADRIAN,MIHAI,C23/1,5
7021,ADRIANA,GHEORGHE,C23/2,10
7022,SORIN,CONSTANTIN,C24/1,8
7023,SORINA,VASILE,C24/2,9
7024,IOANA,STOICA,C11/1,7
7025,TEODOR,NEAGU,C11/2,6
7026,VICTOR,MUNTEANU,C12/1,8
7027,CRISTINA,DAN,C12/2,9
7028,GABRIEL,PETRE,C21/1,10
7029,ELENA,MANEA,C21/2,5
7030,ION,POP,C22/1,7
7031,MARIA,POPESCU,C22/2,8
7032,MIHAI,IONESCU,C23/1,9
7033,ANDREEA,STAN,C23/2,10
7034,ALEXANDRU,RADU,C24/1,6
7035,ANA,DUMITRESCU,C24/2,5
7036,VLAD,VOICU,C11/1,8
7037,GABRIELA,MANEA,C11/2,9
7038,ROBERT,CRISTEA,C12/1,4
7039,TEODORA,MATEI,C12/2,10
7040,CRISTIAN,DIACONU,C21/1,7
7041,RALUCA,FLOREA,C21/2,8
7042,ALEXANDRA,PETRE,C22/1,9
7043,DANIEL,NICOLAE,C22/2,6
7044,DANIELA,ENACHE,C23/1,5
7045,PAUL,DRAGOMIR,C23/2,10
7046,PAULA,LAZAR,C24/1,7
7047,STEFAN,DINU,C24/2,8
7048,STEFANIA,ILIE,C11/1,9
7049,ADRIAN,TUDOR,C11/2,6
7050,ADRIANA,MARIN,C12/1,5
7051,SORIN,MIHAI,C12/2,10
7052,SORINA,GHEORGHE,C21/1,8
7053,IOANA,CONSTANTIN,C21/2,9
7054,TEODOR,VASILE,C22/1,7
7055,VICTOR,STOICA,C22/2,6
7056,CRISTINA,NEAGU,C23/1,8
7057,GABRIEL,MUNTEANU,C23/2,9
7058,ELENA,DAN,C24/1,10
7059,ION,PETRE,C24/2,5
7060,MARIA,MANEA,C11/1,7
7061,MIHAI,POP,C11/2,8
7062,ANDREEA,POPESCU,C12/1,9
7063,ALEXANDRU,IONESCU,C12/2,10
7064,ANA,STAN,C21/1,6
7065,VLAD,RADU,C21/2,5
7066,GABRIELA,DUMITRESCU,C22/1,8
7067,ROBERT,VOICU,C22/2,9
7068,TEODORA,MANEA,C23/1,4
7069,CRISTIAN,CRISTEA,C23/2,10
7070,RALUCA,MATEI,C24/1,7
7071,ALEXANDRA,DIACONU,C24/2,8
7072,DANIEL,FLOREA,C11/1,9
7073,DANIELA,PETRE,C11/2,6
7074,PAUL,NICOLAE,C12/1,5
7075,PAULA,ENACHE,C12/2,10
7076,STEFAN,DRAGOMIR,C21/1,7
7077,STEFANIA,LAZAR,C21/2,8
7078,ADRIAN,DINU,C22/1,9
7079,ADRIANA,ILIE,C22/2,6
7080,SORIN,TUDOR,C23/1,5
7081,SORINA,MARIN,C23/2,10
7082,IOANA,MIHAI,C24/1,8
7083,TEODOR,GHEORGHE,C24/2,9
7084,VICTOR,CONSTANTIN,C11/1,7
7085,CRISTINA,VASILE,C11/2,6
7086,GABRIEL,STOICA,C12/1,8
7087,ELENA,NEAGU,C12/2,9
7088,ION,MUNTEANU,C21/1,10
7089,MARIA,DAN,C21/2,5
7090,MIHAI,PETRE,C22/1,7
7091,ANDREEA,MANEA,C22/2,8
7092,ALEXANDRU,POP,C23/1,9
7093,ANA,POPESCU,C23/2,10
7094,VLAD,IONESCU,C24/1,6
7095,GABRIELA,STAN,C24/2,5
7096,ROBERT,RADU,C11/1,8
7097,TEODORA,DUMITRESCU,C11/2,9
7098,CRISTIAN,VOICU,C12/1,4
7099,RALUCA,MANEA,C12/2,10
