07000, ION, POPESCU, C11/1, 8
07001, MARIA, IONESCU, C11/2, 9
07002, ANDREI, STAN, C12/1, 7
07003, ELENA, RADU, C12/2, 10
07004, MIHAI, DUMITRESCU, C21/1, 6
07005, ANA, VOICU, C21/2, 5
07006, VLAD, MANEA, C22/1, 8
07007, GABRIELA, CRISTEA, C22/2, 9
07008, ROBERT, MATEI, C23/1, 4
07009, TEODORA, DIACONU, C23/2, 10
07010, CRISTIAN, FLOREA, C24/1, 7
07011, RALUCA, PETRE, C24/2, 8
07012, ALEXANDRU, NICOLAE, C11/1, 9
07013, ALEXANDRA, ENACHE, C11/2, 6
07014, DANIEL, DRAGOMIR, C12/1, 5
07015, DANIELA, LAZAR, C12/2, 10
07016, PAUL, DINU, C21/1, 7
07017, PAULA, ILIE, C21/2, 8
07018, STEFAN, TUDOR, C22/1, 9
07019, STEFANIA, MARIN, C22/2, 6
07020, ADRIAN, MIHAI, C23/1, 5
07021, ADRIANA, GHEORGHE, C23/2, 10
07022, SORIN, CONSTANTIN, C24/1, 8
07023, SORINA, VASILE, C24/2, 9
07024, IOANA, STOICA, C11/1, 7
07025, TEODOR, NEAGU, C11/2, 6
07026, VICTOR, MUNTEANU, C12/1, 8
07027, CRISTINA, DAN, C12/2, 9
07028, GABRIEL, PETRE, C21/1, 10
07029, ELENA, MANEA, C21/2, 5
07030, ION, POP, C22/1, 7
07031, MARIA, POPESCU, C22/2, 8
07032, MIHAI, IONESCU, C23/1, 9
07033, ANDREEA, STAN, C23/2, 10
07034, ALEXANDRU, RADU, C24/1, 6
07035, ANA, DUMITRESCU, C24/2, 5
07036, VLAD, VOICU, C11/1, 8
07037, GABRIELA, MANEA, C11/2, 9
07038, ROBERT, CRISTEA, C12/1, 4
07039, TEODORA, MATEI, C12/2, 10
07040, CRISTIAN, DIACONU, C21/1, 7
07041, RALUCA, FLOREA, C21/2, 8
07042, ALEXANDRA, PETRE, C22/1, 9
07043, DANIEL, NICOLAE, C22/2, 6
07044, DANIELA, ENACHE, C23/1, 5
07045, PAUL, DRAGOMIR, C23/2, 10
07046, PAULA, LAZAR, C24/1, 7
07047, STEFAN, DINU, C24/2, 8
07048, STEFANIA, ILIE, C11/1, 9
07049, ADRIAN, TUDOR, C11/2, 6
07050, ADRIANA, MARIN, C12/1, 5
07051, SORIN, MIHAI, C12/2, 10
07052, SORINA, GHEORGHE, C21/1, 8
07053, IOANA, CONSTANTIN, C21/2, 9
07054, TEODOR, VASILE, C22/1, 7
07055, VICTOR, STOICA, C22/2, 6
07056, CRISTINA, NEAGU, C23/1, 8
07057, GABRIEL, MUNTEANU, C23/2, 9
07058, ELENA, DAN, C24/1, 10
07059, ION, PETRE, C24/2, 5
07060, MARIA, MANEA, C11/1, 7
07061, MIHAI, POP, C11/2, 8
07062, ANDREEA, POPESCU, C12/1, 9
07063, ALEXANDRU, IONESCU, C12/2, 10
07064, ANA, STAN, C21/1, 6
07065, VLAD, RADU, C21/2, 5
07066, GABRIELA, DUMITRESCU, C22/1, 8
07067, ROBERT, VOICU, C22/2, 9
07068, TEODORA, MANEA, C23/1, 4
07069, CRISTIAN, CRISTEA, C23/2, 10
07070, RALUCA, MATEI, C24/1, 7
07071, ALEXANDRA, DIACONU, C24/2, 8
07072, DANIEL, FLOREA, C11/1, 9
07073, DANIELA, PETRE, C11/2, 6
07074, PAUL, NICOLAE, C12/1, 5
07075, PAULA, ENACHE, C12/2, 10
07076, STEFAN, DRAGOMIR, C21/1, 7
07077, STEFANIA, LAZAR, C21/2, 8
07078, ADRIAN, DINU, C22/1, 9
07079, ADRIANA, ILIE, C22/2, 6
07080, SORIN, TUDOR, C23/1, 5
07081, SORINA, MARIN, C23/2, 10
07082, IOANA, MIHAI, C24/1, 8
07083, TEODOR, GHEORGHE, C24/2, 9
07084, VICTOR, CONSTANTIN, C11/1, 7
07085, CRISTINA, VASILE, C11/2, 6
07086, GABRIEL, STOICA, C12/1, 8
07087, ELENA, NEAGU, C12/2, 9
07088, ION, MUNTEANU, C21/1, 10
07089, MARIA, DAN, C21/2, 5
07090, MIHAI, PETRE, C22/1, 7
07091, ANDREEA, MANEA, C22/2, 8
07092, ALEXANDRU, POP, C23/1, 9
07093, ANA, POPESCU, C23/2, 10
07094, VLAD, IONESCU, C24/1, 6
07095, GABRIELA, STAN, C24/2, 5
07096, ROBERT, RADU, C11/1, 8
07097, TEODORA, DUMITRESCU, C11/2, 9
07098, CRISTIAN, VOICU, C12/1, 4
07099, RALUCA, MANEA, C12/2, 10
